1 1 6 15 12 1 0 0 0 7 16 6 6 10 0 0 0 8 16 2 0 11 2 0 0 5 16 3 0 5 7 0 0 7 13 3 0 8 7 0 0 4 12 0 1 13 5 0 0 0 14 9 15 9 0 0 0 0 6 14 7 1 0 0 0
2 0 10 16 6 0 0 0 0 7 16 8 16 5 0 0 0 11 16 0 6 14 3 0 0 12 12 0 0 11 11 0 0 12 12 0 0 8 12 0 0 7 15 1 0 13 11 0 0 0 16 8 10 15 3 0 0 0 10 16 15 3 0 0 0
3 0 8 15 16 13 0 0 0 1 11 9 11 16 1 0 0 0 0 0 7 14 0 0 0 0 3 4 14 12 2 0 0 1 16 16 16 16 10 0 0 2 12 16 10 0 0 0 0 0 2 16 4 0 0 0 0 0 9 14 0 0 0 0 7
4 0 0 3 11 16 0 0 0 0 5 16 11 13 7 0 0 3 15 8 1 15 6 0 0 11 16 16 16 16 10 0 0 1 4 4 13 10 2 0 0 0 0 0 15 4 0 0 0 0 0 3 16 0 0 0 0 0 0 1 15 2 0 0 4
5 0 5 14 4 0 0 0 0 0 13 8 0 0 0 0 0 3 14 4 0 0 0 0 0 6 16 14 9 2 0 0 0 4 16 3 4 11 2 0 0 0 14 3 0 4 11 0 0 0 10 8 4 11 12 0 0 0 4 12 14 7 0 0 6
6 0 11 16 10 1 0 0 0 4 16 10 15 8 0 0 0 4 16 3 11 13 0 0 0 1 14 6 9 14 0 0 0 0 0 0 12 10 0 0 0 0 0 6 16 6 0 0 0 0 5 15 15 8 8 3 0 0 10 16 16 16 16 6 2
7 0 1 11 13 11 7 0 0 0 9 14 6 4 3 0 0 0 16 12 16 15 2 0 0 5 16 10 4 12 6 0 0 1 1 0 0 10 4 0 0 0 0 0 5 10 0 0 0 0 0 8 15 3 0 0 0 0 1 13 5 0 0 0 5
8 0 8 10 8 7 2 0 0 1 15 14 12 12 4 0 0 7 15 12 5 0 0 0 0 5 14 12 15 7 0 0 0 0 0 0 2 13 0 0 0 0 0 0 4 12 0 0 0 0 6 7 14 5 0 0 0 0 4 13 8 0 0 0 5
9 0 15 2 14 13 2 0 0 0 16 15 12 13 8 0 0 2 16 12 1 6 10 0 0 7 15 3 0 5 8 0 0 5 12 0 0 8 8 0 0 5 12 0 7 15 5 0 0 5 16 13 16 6 0 0 0 0 10 12 5 0 0 0 0
10 0 3 13 13 2 0 0 0 6 16 12 10 8 0 0 0 9 15 12 16 6 0 0 0 10 16 16 13 0 0 0 0 1 12 16 12 14 4 0 0 0 11 8 0 3 12 0 0 0 13 11 8 13 12 0 0 0 3 15 11 6 0 0 8
11 0 6 14 14 16 16 8 0 0 7 11 8 10 15 3 0 0 0 0 4 15 10 0 0 1 15 16 16 16 14 0 0 3 11 13 13 0 0 0 0 0 0 15 5 0 0 0 0 0 7 13 0 0 0 0 0 0 10 12 0 0 0 0 7
12 0 0 3 16 11 1 0 0 0 0 8 16 16 1 0 0 0 0 9 16 14 0 0 0 1 7 16 16 11 0 0 0 9 16 16 16 8 0 0 0 1 8 6 16 7 0 0 0 0 0 5 16 9 0 0 0 0 0 2 14 14 1 0 1
13 0 0 4 13 16 16 3 0 0 8 16 9 12 16 4 0 7 16 3 3 15 13 0 0 9 15 14 16 16 6 0 0 1 8 7 12 15 0 0 0 0 0 0 13 10 0 0 0 0 0 3 15 6 0 0 0 0 0 5 15 4 0 0 9
